aq         98%              68               20                -      +     -    -     0      +        +           -            -                                                                            -     -     -       -        -                    -
aq         98%             104              40                                         -      +        +
1622   nitrous acid             aq          DL             68               20                                         +      +        +           -                                                                                         0     +     0       +        +
HNO2                     aq          DL             104              40                                         +      +        +                                                                                                     -     +     -       +        0
aq          DL             140              60                                         +      +        +                                                                                                                         +        -
aq          DL             176              80                                         +      +        +
aq          DL             212              100                                               +        +




92 of 110
                                                                                                                                                                     304 Stainless Steel

316 Stainless Steel
Temperature °C
Temperature °F
Concentration




Polysulfone




Hastelloy C
Polyamide




"FKM, FPM"
Condition




"FEP, PFA"




Buna-N




Carbon
PVC-U




EPDM




Al2O3
FFKM
PVDF
CPVC




PTFE




CSM
NBR




SSIC
CR
PP
PE
1623   hydrochloric acid    aq         5%              68               20                +       +     +    +     +      +        +          0            +                  -                     -                +                   0     +     0       +        +     +      +       +        +
HCl                  aq         5%              104              40                +       +     +    +     +      +        +                       +                                                         +                   -     +     -       +        0     +      +       +        +
aq         5%              140              60                0       +     +    +     +      +        +                                                                                 +                         +             +        -     +      +       +        +
aq         5%              176              80                        +          0     +      +        +                                                                                 +                         +                            +      +       +        +
aq         5%              212              100                                        +      +        +
aq         10%              68               20               +       +     +    +     +      +        +          0            +                  -                     -                +                   0     +     0       +        +     +      +       +        +
aq         10%             104              40                +       +     +    +     +      +        +                       +                                                         +                   -     +     -       +        0     +      +       +        +
aq         10%             140              60                0       +     +    0     +      +        +                                                                                 +                         +             0        -     +      +       +        +
aq         10%             176              80                        +          0     +      +        +                                                                                 +                                                             +       +        +
aq         10%             212              100                                        +      +        +
aq         20%              68               20               +       +     +    +     +      +        +           -           +                  -                     -                +                   -     +             +        +     +      +       +        +
aq         20%             104              40                +       +     +    +     +      +        +                                                                                 +                         +             0              +      +       +        +
aq         20%             140              60                0       +     +    0     +      +        +                                                                                 +                                       -                     +       +        +
aq         20%             176              80                        +          0     +      +        +                                                                                 +                                                             +       +        +
aq         20%             212              100                                               +        +
aq         30%              68               20               +       +     +    +     +      +        +           -           +                  -                     -                +                   -     +     -       +        +     +      +       +        +
aq         30%             104              40                +       +     +    +     +      +        +                                                                                 +                         +             0        0     +      +       +        +
aq         30%             140              60                0       +     0    0     +      +        +                                                                                 +                                       -        -            +       +        +
aq         30%             176              80                        +          -     +      +        +                                                                                 +                         -                                   +
aq         37%              68               20               +       +     +    +     +      +        +           -                              -                     -                +                   -     +     -       +              +      +       +        +
aq         37%             104              40                +             +    +     +      +        +                                                                                 +                                       -              +      +       +        +
1624   brine                aq         CSC             68               20                +       +     +    +     +      +        +          +            +                 0                     0                 +           +       +     +     +       +        +     +      +       +        +
NaCl                 aq         CSC             104              40                +       +     +    +     +      +        +          +            +                 0                     0                 +           +       +     +     +       +        +     +      +       +        +
ClNa                 aq         CSC             140              60                +       +     +    +     +      +        +                       +                 -                     -                 +                   +     +     +       +        +     +      +       +        +
aq         CSC             176              80                        +          +     +      +        +                                                                                 +                         +             +              +      +       +        +
aq         CSC             212              100                                        +      +        +                                                                                 +                                                      +      +       +        +
1625   oxygen              gas         HC              68               20                +       +     +    +     +      +        +                       +                                                                             -     +     +       +        +
O2                  gas         HC              104              40                +       +     +    0     +      +        +                       +                                                                                   +     +       +        +
gas         HC              140              60                +       +     0    0     +      +        +                       +                                                                                   +     +       +        +
gas         HC              176              80                        +                0      +        +                                                                                                           +     +       +        +
gas         HC              212              100                                        0      +        +                                                                                                                         +        +
gas         HC              248              120                                               +        +                                                                                                                         +
1627   soap                                             68               20               +             +    +     +      +        +                                                                                 +                   +     +     +       +        +     +      +       +        +
soft soap                                       104              40                +             +    +     +      +        +                                                                                 +                   +     +     +       +        +     +      +       +        +
140              60                0             +    +     +      +        +                                                                                 +                   +     +     +       +        +     +      +       +        +
176              80                                         +      +        +                                                                                 +                                                      +      +
212              100                                        +      +        +                                                                                 +                                                      +      +
1628   sulfur                           TP              68               20               +       +     +    +     +      +        +          +            +                +                     +                  +           +       +     +     +       +        +     +
S8                               TP             104              40                +       +     +    +     +      +        +          +            +                +                     +                  +           +       +     +     +       +        +     +
TP             140              60                              +    +     +      +        +                                        +                     +                  +                         +             +        +     +
TP             176              80                                   +     +      +        +                                        +                     +                  +                                       +        +     +
TP             212              100                                        +      +        +                                        +                     +                  +                                       +        +     +



93 of 110
                                                                                                                                                                            304 Stainless Steel

316 Stainless Steel
Temperature °C
Temperature °F
Concentration




Polysulfone




Hastelloy C
Polyamide




"FKM, FPM"
Condition




"FEP, PFA"




Buna-N




Carbon
PVC-U




EPDM




Al2O3
FFKM
PVDF
CPVC




PTFE




CSM
NBR




SSIC
CR
PP
PE
"1629   sulfur dioxide, gaseous   gas,dry      HC              68               20                +             +    +     0      +        +                       0                                      +                  +                   -     +     -       +        0"
"gas,hd       HC              68               20                +             +    +     +      +        +                       +                                      +                  +                   -     +     -       +        0"
"gas,dry      HC              104              40                +             +    +     0      +        +                                                              +                  +                         +             0        -"
"gas,hd       HC              104              40                +             +    +     0      +        +                                                                                                           +"
"gas,dry      HC              140              60                                         -      +        +                                                              +                  +                         0"
"gas,hd       HC              140              60                 0            +    +     -      +        +                                                                                                           0"
"gas,dry      HC              176              80                                                +        +"
"gas,hd       HC              176              80                                                +        +"
"gas,dry      HC              212              100                                               +        +"
"gas,hd       HC              212              100                                               +        +"
"gas,dry      HC              248              120                                               +        +"
"gas,hd       HC              248              120                                               +        +"

1632   sulfuric acid               aq         5%              68               20                +       +     +    +     +      +        +          +            0                  -                     -                +                   0     +     0       +        +     +      +       +        +
aq         5%              104              40                +       +     +    +     +      +        +                       0                                                         +                   -     +     -       +        +     +      +       +        +
aq         5%              140              60                0       +     +    +     +      +        +                                                                                 +                         +             +        0     +      +                +
aq         5%              176              80                        +          +     +      +        +                                                                                                           0             +        0     +      +                +
aq         5%              212              100                                        +      +        +                                                                                                           -                      -     +      +
aq         10%              68               20               +       +     +    +     +      +        +                       0                  -                     -                +                   0     +     0       +        +     +      +       +        +
aq         10%             104              40                +       +     +    +     +      +        +                       0                                                         +                   -     +     -       +        +     +      +       +        +
aq         10%             140              60                0       +     +    +     +      +        +                                                                                 +                         +             +        0     +      +                +
aq         10%             176              80                        +          +     +      +        +                                                                                                           0             +        0     +      +                +
aq         10%             212              100                                        +      +        +                                                                                                           -                      -     +      +
aq         20%              68               20               +       +     +    +     +      +        +                       0                  -                     -                +                   -     +     0       +        +     +      +       +        +
aq         20%             104              40                +       +     +    +     +      +        +                       0                                                         +                         +     -       +        +     +      +       +        +
aq         20%             140              60                0       +     +    +     +      +        +                                                                                 +                         +             +        0     +      +                +
aq         20%             176              80                        +          +     +      +        +                                                                                                           0             +        0     +      +                +
aq         20%             203              95                                         +      +        +                                                                                                           -             +        -     +      +
aq         40%              68               20               +       +     +    +     +      +        +           -           0                  -                     -                +                   0     +     0       +        +     +      +       +        +




94 of 110
                                                                                                                                                                           304 Stainless Steel

316 Stainless Steel
Temperature °C
Temperature °F
Concentration




Polysulfone




Hastelloy C
Polyamide




"FKM, FPM"
Condition




"FEP, PFA"




Buna-N




Carbon
PVC-U




EPDM




Al2O3
FFKM
PVDF
CPVC




PTFE




CSM
NBR




SSIC
CR
PP
PE
1632   sulfuric acid              aq         40%             104              40                +       +     +    +     +      +        +                       0                                                         +                   -     +     -       +        +     +      +       +        +
aq         40%             140              60                0       +     +    +     +      +        +                                                                                 +                         +             +        0     +      +                +
aq         40%             176              80                        +          +     +      +        +                                                                                                           0             +        0     +      +                +
aq         40%             212              100                                        +      +        +                                                                                                           -                      -     +
aq         50%              68               20               +       +     +    +     +      +        +           -           0                  -                     -                +                   -     +     -       +        +     +      +       +        +
aq         50%             104              40                +       +     +    +     +      +        +                       0                                                         +                         +             +        0     +      +       +        +
aq         50%             140              60                0       +     +    +     +      +        +                                                                                 +                         0             +        0     +      +                +
aq         50%             176              80                        +          +     +      +        +                                                                                                           -             +        -     +      +                +
aq         50%             212              100                                        +      +        +                                                                                                                                        +
aq         60%              68               20               +       +     +    +     +      +        +           -           0                  -                     -                +                   -     +     -       +        +     +      +                +
aq         60%             104              40                +       +     +    +     +      +        +                       0                                                         +                         +             +        0     +      +                +
aq         60%             140              60                0       +     +    +     +      +        +                                                                                 +                                       +        0     +      +                +
aq         60%             176              80                        +          +     +      +        +                                                                                                                         +        -     +      +                +
aq         60%             212              100                                        +      +        +                                                                                                                                        +
aq         70%              68               20               +       +     +    +     +      +        +           -           0                  -                     -                +                         +             +              +      +                +
aq         70%             104              40                +       +     +    +     +      +        +                                                                                 +                         +             +        0     +      +                +
aq         70%             140              60                        +                +      +        +                                                                                 +                                                      +      +                +
aq         70%             176              80                        +                +      +        +                                                                                                                                        +      +                +
aq         70%             212              100                                               +        +                                                                                                                                        +
aq         80%              68               20               +       +     +    +     +      +        +           -           0                  -                     -                +                   -     +     -       +        +     +      +                +
aq         80%             104              40                +       +     +    +     +      +        +                                                                                 +                         0             +        0     +      +                +
aq         80%             140              60                -       +     0    0     +      +        +                                                                                 +                         -             0        -     +      +                +
aq         80%             176              80                        +                +      +        +                                                                                                                         -              +      +                +
aq         80%             212              100                                        0      +        +                                                                                                                                        +
aq         96%              68               20                0      0     -    -     +      +        +           -            -                 -                     -                +           -       -     -     0                -     +      +       -        +
aq         96%             104              40                 -      -                +      +        +                                                                                 +                                       -              +      +                +
aq         96%             140              60                                         0      +        +                                                                                 +                                                             +                +
aq         96%             176              80                                         -      +        +                                                                                                                                               +                +
aq         96%             212              100                                               +        +
aq         98%              68               20                -      -     -    -     +      +        +           -            -                                                        +           -       -     -     -       -        -     +      +       -        +
aq         98%             104              40                                         +      +        +                                                                                 +                                                      +      +                +
aq         98%             140              60                                         -      +        +                                          -                     -                +                                                      0      +                +
aq         98%             176              80                                                +        +                                                                                                                                        -      +                +
aq         98%             212              100                                               +        +
1634   sulfur trioxide           gas         HC              68               20                 -            -    -     0      +        +                                                                                                     -     -     -       -        -     +
sulfuric acid anhydride   gas         HC              104              40                                                +        +                                                                                                                                        +
SO3                       gas         HC              140              60                                                +        +                                                                                                                                        +
O3S                       gas         HC              176              80                                                +        +
gas         HC              212              100                                               +        +
gas         HC              248              120                                               +        +




95 of 110
                                                                                                                                                                                    304 Stainless Steel

316 Stainless Steel
Temperature °C
Temperature °F
Concentration




Polysulfone




Hastelloy C
Polyamide




"FKM, FPM"
Condition




"FEP, PFA"




Buna-N




Carbon
PVC-U




EPDM




Al2O3
FFKM
PVDF
CPVC




PTFE




CSM
NBR




SSIC
CR
PP
PE
1635   hydrogen sulfide                   gas         HC              68               20                +       +     +    +     +      +        +                       0                                                                     0       -     +     0       -        +     +
H2S                                gas         HC              104              40                +       +     +    +     +      +        +                                                                                                     -     0     -       -        0     +
gas         HC              140              60                +       +     0    +     +      +        +                                                                                                     -     -             -        0     +
gas         HC              176              80                        +                +      +        +                                                                                                                         -        -     +
gas         HC              212              100                                        +      +        +                                                                                                                                        +
gas         HC              248              120                                               +        +
aq          CSC             68               20                +       +     +    +     +      +        +                                                                                             0       -     +     0       -        +
aq          CSC             104              40                +       +     +    +     +      +        +                                                                                                     -     0     -       -        +
aq          CSC             140              60                0       +     +    +     +      +        +                                                                                                           -             -        0
aq          CSC             176              80                        +                +      +        +                                                                                                                         -        -
aq          CSC             212              100                                        +      +        +                                                                                                                         -
1636   sulfurous acid                     aq          CSC             68               20                +             +    +     +      +        +           -                                                                     +           -       -     +     -       +        0     +      +       +        +
"sulfur dioxide, aqueous solution   aq          CSC             104              40                +             +    +     +      +        +                                                                                 +                         0             +        0     +      +       +        +"
aq          CSC             140              60                0             +    +     +      +        +                                                                                 +                         -             0        -     +      +       +        +
"SO3 • xH2O (""H2SO3"")               aq          CSC             176              80                                         +      +        +                                                                                 +                                       -                     +"
"O3S (""H2O3S"")                      aq          CSC             212              100                                        +      +        +                                                                                 +                                                             +"
1637   soap hydrous solution                                           68               20               +       +     +    +     +      +        +                       +                +                     +                  +           +       +     +     +       +        +
104              40                +       +     +    +     +      +        +                                        +                     +                  +           +       +     +     +       +        +
140              60                0       +     +    +     +      +        +                       +                +                     +                  +           +       +     +     +       +        +
176              80                        +                +      +        +
212              100                                        +      +        +
1638   silver acetate                      aq         CSC             68               20                +             +    +     +      +        +                                                                                             +       +     +     +       +        +
CH3CO2Ag                            aq         CSC             104              40                +             +    +     +      +        +                                                                                                     +     +     +       +        +
C2H3AgO2                            aq         CSC             140              60                0             +    +     +      +        +                                                                                                     +     +     +       +        +
aq         CSC             176              80                                         +      +        +
aq         CSC             212              100                                        +      +        +
1639   silver chloride                     aq         CSC             68               20                +       +     +    +     +      +        +          +            +                +                     +                  +                         +     +       +              +      +       +        +
AgCl                                aq         CSC             104              40                +       +     +    +     +      +        +          +            +                +                     +                  +                         +     +       +              +      +       +        +
aq         CSC             140              60                +       +     +    +     +      +        +                       +                +                     +                  +                         +     +       +              +      +       +        +
aq         CSC             176              80                        +          +     +      +        +                                                                                 +                         +             +              +      +       +        +
aq         CSC             212              100                                        +      +        +                                                                                 +                                       +              +      +       +
1640   silver cyanide                      aq         CSC             68               20                +       +     +    +     +      +        +                                                                                             +       +     +     +       +        +
AgCN                                aq         CSC             104              40                +       +     +    +     +      +        +                                                                                                     +     +     +       +        +
CAgN                                aq         CSC             140              60                0       +     +    +     +      +        +                                                                                                     +     +     +       +        +
aq         CSC             176              80                        +                +      +        +
aq         CSC             212              100                                               +        +
1641   silver nitrate                      aq         CSC             68               20                +       +     +    +     +      +        +                                        +                     +                  +           +       +     +     +       +        +
AgNO3                               aq         CSC             104              40                +       +     +    +     +      +        +                                        +                     +                  +           +       +     +     +       +        +
aq         CSC             140              60                -       +     +    +     +      +        +                                        +                     +                  +           +       +     +     +       +        +
aq         CSC             176              80                        +                +      +        +                                        +                     +                  +           -
aq         CSC             212              100                                        +      +        +                                        +                     +                  +



96 of 110
                                                                                                                                                                                           304 Stainless Steel

316 Stainless Steel
Temperature °C
Temperature °F
Concentration




Polysulfone




Hastelloy C
Polyamide




"FKM, FPM"
Condition




"FEP, PFA"




Buna-N




Carbon
PVC-U




EPDM




Al2O3
FFKM
PVDF
CPVC




PTFE




CSM
NBR




SSIC
CR
PP
PE
1642   silver sulfate                          aq            CSC             68               20                        +                       +        +                                                                                                                         +              +      +       +        +
aq            CSC             104              40                        +                       +        +                                                                                                                         +              +      +       +        +
aq            CSC             140              60                        +                       +        +                                                                                                                         +              +      +       +        +
aq            CSC             176              80                        +                       +        +                                                                                                                         +              +      +       +        +
aq            CSC             212              100                                               +        +                                                                                                                                               +
1643   silicone oil                                           TP              68               20               +       +     +    +     +      +        +          +            +                +                     +                  +                   +     +     +       +        +     +      +       +        +
polydimethylsiloxane                                   TP             104              40                              +    +     +      +        +          +                             +                     +                  +                   +     +     +       +        +     +      +       +        +
TP             140              60                              +    +     +      +        +                                        +                     +                  +                   +     +     +       +        +     +      +       +        +
HO[Si(CH3)2O)]nH                                       TP             176              80                                   +     +      +        +                                        +                     +                  +                                                      +      +       +        +
C2H6OSi                                                TP             212              100                                  +     +      +        +                                        +                     +                  +                                                      +      +                +
TP             248              120                                        +      +        +                                                                                                                                        +      +                +
1644   sperm oil                                                              68               20               +             +    +     +      +        +                                                              +                              -       +     0     +       +        0
104              40                                                +        +
140              60                                                +        +
176              80                                                +        +
212              100                                               +        +
32
1646   spin bath acid with carbon disulfide               100mgCS2/L          68               20               +             +    +     +      +        +                       0                                                                     +       -     +     -       +        0
100mgCS2/L         104              40                +             +    +     +      +        +                                                                                             +
100mgCS2/L         140              60                +             -    0            +        +
100mgCS2/L         176              80                                                +        +
100mgCS2/L         212              100                                               +        +
200mgCS2/L         68               20                 0            +    +     +      +        +                                                                                             +       -     +     -       +        0
